Radix,Complexity,Time in ms,BubbleSort,Complexity,Time in s,GnomeSort,Complexity,Time in s,MergeSort,Complexity,Time in ms,QuikSort,Complexity,Time in ms
,1291,0.96,,1291,0.044222,,1291,0.029391,,1291,3.212,,1291,2.269
,1297,0.902,,1297,0.04206,,1297,0.030029,,1297,2.581,,1297,2.366
,1303,0.864,,1303,0.043932,,1303,0.029641,,1303,2.062,,1303,2.325
,1309,0.827,,1309,0.043955,,1309,0.03489,,1309,2.043,,1309,2.252
,1315,0.754,,1315,0.042435,,1315,0.04217,,1315,13.957,,1315,2.509
,1321,0.735,,1321,0.045764,,1321,0.030549,,1321,2.971,,1321,2.233
,1327,0.908,,1327,0.041102,,1327,0.030488,,1327,3.74,,1327,2.293
,1333,1.073,,1333,0.045559,,1333,0.030714,,1333,3.764,,1333,2.632
,1339,0.835,,1339,0.042906,,1339,0.032087,,1339,2.542,,1339,2.374
,1345,0.842,,1345,0.042371,,1345,0.03013,,1345,2.447,,1345,2.937
,1351,0.972,,1351,0.045438,,1351,0.030467,,1351,2.279,,1351,2.4
,1357,0.801,,1357,0.045123,,1357,0.031864,,1357,2.161,,1357,2.343
,1363,0.75,,1363,0.047244,,1363,0.042409,,1363,2.267,,1363,2.538
,1369,0.76,,1369,0.054162,,1369,0.035569,,1369,2.171,,1369,2.396
,1375,0.755,,1375,0.046515,,1375,0.034098,,1375,2.351,,1375,2.413
,1381,0.763,,1381,0.042804,,1381,0.036772,,1381,2.291,,1381,2.469
,1387,0.778,,1387,0.047881,,1387,0.03475,,1387,2.341,,1387,2.471
,1393,1.348,,1393,0.046996,,1393,0.034816,,1393,23.715,,1393,3.044
,1399,1.51,,1399,0.047862,,1399,0.03939,,1399,3.262,,1399,2.541
,1405,1.409,,1405,0.053282,,1405,0.060168,,1405,3.493,,1405,2.532
,1411,1.401,,1411,0.047777,,1411,0.033995,,1411,3.426,,1411,2.637
,1417,1.43,,1417,0.047593,,1417,0.035221,,1417,2.149,,1417,2.578
,1423,0.883,,1423,0.052153,,1423,0.040293,,1423,2.094,,1423,2.733
,1429,0.862,,1429,0.048638,,1429,0.041987,,1429,2.147,,1429,2.668
,1435,0.788,,1435,0.04903,,1435,0.034973,,1435,2.114,,1435,2.616
,1441,0.793,,1441,0.051036,,1441,0.046033,,1441,2.308,,1441,2.484
,1447,0.797,,1447,0.057595,,1447,0.03566,,1447,2.157,,1447,2.907
,1453,0.801,,1453,0.056299,,1453,0.035753,,1453,2.312,,1453,2.591
,1459,0.815,,1459,0.050774,,1459,0.040197,,1459,2.183,,1459,2.672
,1465,0.809,,1465,0.051447,,1465,0.037487,,1465,2.206,,1465,3.009
,1471,0.807,,1471,0.056572,,1471,0.037309,,1471,2.128,,1471,2.723
,1477,0.82,,1477,0.054776,,1477,0.051533,,1477,2.22,,1477,2.699
,1483,0.969,,1483,0.055159,,1483,0.03738,,1483,2.148,,1483,3.156
,1489,1.661,,1489,0.054437,,1489,0.045657,,1489,2.429,,1489,3.927
,1495,0.964,,1495,0.060535,,1495,0.039925,,1495,2.286,,1495,3.206
,1501,0.908,,1501,0.054052,,1501,0.037655,,1501,2.189,,1501,2.719
,1507,0.947,,1507,0.055893,,1507,0.039826,,1507,2.219,,1507,2.576
,1513,1.081,,1513,0.058775,,1513,0.051755,,1513,2.188,,1513,2.71
,1519,1.003,,1519,0.05452,,1519,0.048633,,1519,2.236,,1519,2.7
,1525,0.938,,1525,0.0555,,1525,0.040064,,1525,2.208,,1525,6.601
,1531,0.916,,1531,0.05601,,1531,0.043787,,1531,2.371,,1531,16.229
,1537,0.896,,1537,0.059352,,1537,0.046129,,1537,2.524,,1537,2.755
,1543,0.86,,1543,0.057023,,1543,0.041066,,1543,2.318,,1543,2.966
,1549,0.958,,1549,0.058669,,1549,0.05151,,1549,2.27,,1549,2.914
,1555,0.856,,1555,0.058699,,1555,0.050954,,1555,2.26,,1555,3.004
,1561,0.867,,1561,0.05888,,1561,0.047636,,1561,2.269,,1561,2.843
,1567,0.867,,1567,0.061834,,1567,0.04336,,1567,2.477,,1567,2.914
,1573,0.867,,1573,0.060866,,1573,0.042968,,1573,2.43,,1573,2.757
,1579,0.874,,1579,0.061338,,1579,0.066964,,1579,2.539,,1579,2.788
,1585,0.878,,1585,0.061031,,1585,0.048799,,1585,2.465,,1585,2.973
,1591,1.086,,1591,0.063074,,1591,0.043567,,1591,2.27,,1591,3.093
,1597,1.001,,1597,0.059784,,1597,0.051413,,1597,2.334,,1597,3.142
,1603,0.969,,1603,0.06368,,1603,0.048393,,1603,2.348,,1603,2.824
,1609,1.055,,1609,0.0622,,1609,0.065902,,1609,2.266,,1609,2.843
,1615,1.31,,1615,0.064431,,1615,0.05551,,1615,3.026,,1615,3.041
,1621,0.933,,1621,0.067061,,1621,0.046039,,1621,2.688,,1621,3.489
,1627,0.918,,1627,0.072989,,1627,0.054224,,1627,2.494,,1627,3.126
,1633,0.908,,1633,0.073685,,1633,0.050736,,1633,2.405,,1633,3.212
,1639,0.918,,1639,0.065981,,1639,0.0572,,1639,2.452,,1639,2.871
,1645,0.908,,1645,0.068146,,1645,0.045749,,1645,2.356,,1645,3.42
,1651,0.911,,1651,0.068659,,1651,0.047127,,1651,2.492,,1651,4.423
,1657,0.928,,1657,0.066899,,1657,0.053439,,1657,3.332,,1657,5.06
,1663,0.916,,1663,0.069584,,1663,0.047412,,1663,2.574,,1663,3.703
,1669,0.923,,1669,0.071225,,1669,0.06002,,1669,2.4,,1669,4.722
,1675,0.93,,1675,0.076307,,1675,0.053484,,1675,2.406,,1675,4.529
,1681,0.931,,1681,0.071916,,1681,0.056969,,1681,2.414,,1681,3.879
,1687,0.932,,1687,0.078366,,1687,0.05839,,1687,2.473,,1687,3.816
,1693,1.154,,1693,0.079157,,1693,0.079048,,1693,2.941,,1693,4.473
,1699,1.134,,1699,0.069425,,1699,0.050142,,1699,2.747,,1699,4.299
